"# of Use","# uporabe"
"%1$s incl tax.","%1$s z DDV"
"%s - %s","%s - %s"
"%s Item(s)","Izdelkov: %s"
"Quick simple product creation","Hitro in enostavno ustvarjanje izdelka"
"Records for ""","Zapisi za """
"Redirect","Preusmeritev"
"Redirect URL","Preusmeritev URL"
"Regular Price:","Redna cena:"
"Related Products","Sorodni izdelki"
"Remove","Odstrani"
"Remove Product From Websites","Odstrani izdelke s seltne strani"
"Remove This Item","Odstrani ta izdelek"
"Remove product assignment","Odstani postavitev izdelka"
"Remove product image","Odstani sliko izdelka"
"Remove product link","Odstani povezavo izdelka"
"Reorganize EAV category structure to flat structure","Reorganiziraj EAV strukturo kategorij v enostavno strukturo"
"Reorganize EAV product structure to flat structure","Reorganiziraj EAV strukturo izdelkov v enostavno strukturo"
"Reset","Ponastavi"
"Results","Rezultati"
"Retrieve attribute data","Pridobi podatke atributa"
"Retrieve attribute list","Pridobi seznam atributa"
"Retrieve attribute options","Pridobi možnosti atrbitua"
"Retrieve categories tree","Pridobi drevesno strukturo kategorij"
"Retrieve category attributes","Pridobi atribute kategorij"
"Retrieve category data","Pridobi podatke kategorij"
"Retrieve hierarchical tree","Pridobi hierarhično drevo"
"Retrieve linked products","Pridobi povezane izdelke"
"Retrieve list of assigned products","Pridobi seznam določenega izdelka"
"Retrieve one level of categories by website/store view/parent category","Pridobi eno raven  kategorij po spletni stani / pogledu na trgovino/ nadrejeno kategorijo"
"Retrieve product","Pridobi izdelek"
"Retrieve product attribute sets","Pridobi skupino atributa izdelka"
"Retrieve product image","Pridobi sliko izdelka"
"Retrieve product image list","Pridobi seznam slik izdelka"
"Retrieve product image types","Pridobi tipe slik izdelka"
"Retrieve product link type attributes","Pridobi tipe povezav atributa izdelka"
"Retrieve product link types","Pridobi tipe povezav izdelka"
"Retrieve product tier prices","Pridobi cene za nivo izdelka"
"Retrieve product types","Pridobi tipe izdelka"
"Retrieve products data","Pridobi podatke izdelka"
"Retrieve products list by filters","Pridobi seznam po filtrih izdelka"
"Reviews","Mnenja"
"Roll Over for preview","Zapelji se čez za predogled"
"Root","Korenski direktorij"
"SKU","Šifra"
"Save","Shrani"
"Save Attribute","Shrani atribut"
"Save Attribute Set","Shrani skupino atributa"
"Save Category","Shrani kategorijo"
"Save Search","Shrani iskanje"
"Save and Continue Edit","Sharni in nadaljuj urejanje"
"Saved %d record(s)","Shranjeno %d zapis(ov)"
"Scope","Področje"
"Search","Iskanje"
"Search Engine Optimizations","Optimizacija iskalnikov"
"Search Information","Podatki o iskanju"
"Search Query","Poizvedba"
"Search Term with such search query already exists.","Iskalni niz v taki poizvedni že obstaja."
"Searchable","Možno iskanti"
"Select Category...","Izberite kategorijo ..."
"Select Configurable Attributes ","Izberite nastavljive atribute"
"Select Product...","Izberite izdelek ..."
"Select type of option","Izberite tip možnosti"
"Select type options required values rows.","Izberite vrednosti vrstic za  tip možnosti "
"Selected Product Types","Izberite tipe izdelkov"
"Selected configuration is not available.","Izbrana konfiguracija ni na voljo."
"Send Count","Pošlji število"
"Set Ascending Direction","Nastavite naraščajočo smer"
"Set Descending Direction","Nastavite padajočo smer"
"Set Name","Natstavite ime"
"Set Root Category for Store","Nastavite korensko kategorijo za trgovino"
"Set root category for this store in the <a href=""%s"">configuration</a>","Nastavite korensko kategorijo za to trgovino v  <a href=""%s"">konfiguracija</a>"
"Set special price","Nastavite spletno ceno"
"Set/Get current store view","Nastevite/pridobite trenuten pogled na trgovino"
"Settings","Nastavitve"
"Shop By","Nakupuj po"
"Shopping Options","Možnosti nakupa"
"Show","Prikaži"
"Show Details","Prikaži podrobnosti"
"Show Tags","Prikaži značke"
"Simple Product","Enostavni izdelki"
"Site Map","Zemljevid strani"
"Sitemap","Zemljevid strani"
"Skip import row, is not valid value ""%s"" for field ""%s""","Izpusti uvoz vrstice , vrednost ""%s"" ni veljavna za polje ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Izpusti uvoz vrstice, zahtevano polje ""%s"" za nove  stranke ni določeno."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Izpusti import vrstice, vrednost ""%s"" ni veljavna za polje ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Izpusti import vrstice, zahtevano polje ""%s"" za nove izdelke ni določeno."
"Skipping import row, required field ""%s"" is not defined.","Izpusti import vrstice, zahtevano polje ""%s"" ni določeno."
"Skipping import row, store ""%s"" field does not exist.","Izpusti import vrstice, polje trgovine ""%s"" ne obstaja."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Izpusti import vrstice, vrednost ""%s"" ni veljavna za ""%s"" polje."
"Some of the processed products have no SKU value. Please fill it.","Nekaj od obdelanih izdelkov nima vrednosti šifre. Prosim, dopolnite."
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","Nekaj od izdelkov spodaj nima vseh zahtevanih možnosti. Prosimo, odstranite jih in ponovno dodajte z vsemi potrebnimi možnostmi."
"Sort By","Razvrsti po"
"Sort Order","Vrstni red"
"Source Model","Model izvora"
"Special Expires On: %s","Spletna cena poteče ob: %s"
"Special Price:","Spletna cena"
"Special Price: %s","Spletna cena: %s"
"Starting at:","Začetek ob:"
"Static","Statično"
"Static block and products","Statični blok in izdelki"
"Static block only","Samo statični blok"
"Status","Stanje"
"Stock Availability","Dostopnost zaloge"
"Store","Trgovina "
"Store View","Pogled na trgovino"
"Stretch","Raztegni"
"Subscribe to RSS Feed","Naroči se na RSS vire"
"Super product attributes configuration","Nastavitve atributo za super izdelke"
"Synonym For","Sopomenka za"
"System Properties","Sistemske lastnosti"
"Tag Name","Ime značke"
"Tax","DDV"
"Template","Predloga"
"Text","Besedilo"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","Enostavni katalog ima omejitev  %2\$d filtrirajočih in/ali sortirajočih atributov. Trenutno jih  je  %1\$d. Prosimo, zmanjšajte število filtrirajočih in/ali sortirajočih atributov, da bi lahko uporabljali ta modul."
"The attribute model is not defined","Model atriburta še ni določen."
"The attribute set has been saved.","Skupina atributa je shranjena."
"The base directory to upload image file is not specified.","Osnovni imenik za nalaganje slikovnih datotek še ni določen. "
"The category has been deleted.","Kategorija je bila odstranjena"
"The category has been saved.","Kategorija je bila shranjena."
"The comparison list was cleared.","Seznam primerjav je očiščen."
"The email template is not specified by administrator.","Administrator še ni določil predloge E-pošte."
"The filters must be an array.","Filltri morajo biti v polju."
"The image contents is not valid base64 data.","Vsebine slike ni veljaven base64  podatek."
"The image is not specified.","Slika ni navedena."
"The product %s has been added to comparison list.","Izdelkek %s je bil dodan k primerjalnemu seznamu."
"The product %s has been removed from comparison list.","Izdelkek %s je bil odstranjen iz primerjalnega seznama."
"The product attribute has been deleted.","Atribut izdelka je bil odstranjen."
"The product attribute has been saved.","Atribut izdelka je bil shranjen."
"The product has been created.","Izdelek je bil ustvarjen."
"The product has been deleted.","Izdelke je bil odstranjen."
"The product has been duplicated.","Izdelek je bil podvojen."
"The product has been saved.","Izdelek je bil shranjen."
"The product has required options","Izdelek potrebuje možnosti."
"The review has been deleted","Mnenje je bilo izbrisano."
"The review has been saved.","Mnenje je bilo shranjeno"
"The review was removed by another user or does not exist.","Mnenje je bilo odstranjeno s strani drugega uporabnika ali ne obstaja "
"The search was deleted.","Iskanje je bilo odstranjeno"
"The text is too long","Besedilo je predolgo"
"There are no %s available.","%s ni na voljo."
"There are no customers for this alert","Za to opozorilo ni strank."
"There are no customers for this alert.","Za to opozorilo ni strank."
"There are no products matching the selection.","Ni izdelkov, ki bi se ujemali se tem izborom."
"This Attribute no longer exists","Ta atribut ne obstaja več."
"This attribute cannot be deleted.","Ta atribut ne more biti izbrisan."
"This attribute cannot be edited.","Ta atribut ne more biti urejan."
"This attribute cannot be updated.","Ta atribut ne more biti posodobljen."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Ta atribut je uporabljen v nastavljivih izdelkih. Ne morete ga  odstraniti iz skupine atributov."
"This attribute no longer exists","Ta atribut ne obstaja več."
"This attribute set no longer exists.","Ta skupina atributa ne obstaja več."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Ta skupina vsebuje atribute, uporabljene v nastavljivih izdelkih. Prosimo, premaknite te atribute v drugo skupino in ponovno poskusite ."
"This group contains system attributes. Please move system attributes to another group and try again.","Ta skupina vsebuje sistemske atribute. Prosimo, premaknite sistemske atribute v drugo skupinoin ponovno poskusite. "
"This is a required option","To je zahtevana možnost."
"This product no longer exists.","Ta izdelek ne oobstaja več."
"This search no longer exists.","To iskanje ne obstaja več."
"Tier Pricing","Cene za nivoje"
"Tile","Ploščica"
"Time Format","Oblika časa"
"Title","Naslov"
"To reindex the enabled product(s), the store or product must be specified.","Za ponovno indeksiranje omogočenih izdelkov mora biti navedenatrgovina ali izdelek. "
"Top/Left","Zgoraj/levo"
"Top/Right","Zgoraj/ desno"
"Total Qty Base Items","Skupna količina osnovnih izdelkov"
"Total incl. Tax: %1$s","Skupaj z DDV: %1$s"
"Total of %d record(s) have been deleted.","Skupaj %d zapisov je bilo odstranjenih."
"Total of %d record(s) have been updated.","Skupaj %d zapisov je bilo posodobljenih."
"Type","Tip"
"URL Rewrite Management","URL upravljanje pravil"
"Unable to complete this request.","Te zahteve ne morem izpolniti."
"Unable to find a search term to delete.","Ne najdem iskalnega izraza, ki ga je potrebno odstraniti"
"Unable to find an attribute to delete.","Ne najdem atributa, ki ga je potrebno odstraniti"
"Unable to get the product ID.","Ne morem najti ID izdelka."
"Unassigned Attributes","Nedodeljeni atributi"
"Unknown EAV indexer type ""%s"".","Neznan EAV tip šifre ""%s""."
"Unknown attribute: %s.","Neznan atribut: %s."
"Unsupported product type ""%s"".","Nepodprt tip izdelka ""%s""."
"Up-sells","Povezani"
"Update","Posodobi"
"Update Attributes","Posodobi atribute"
"Update Tier Price","Posodobi ceno za  nivoje"
"Update assigned product","Posodobi dodeljen izdelek"
"Update attributes","Posodobi atribut"
"Update category","Posodobi kategorijo"
"Update product","Posodobi izdelek"
"Update product image","Posodobi sliko izdelka"
"Update product link","Posodobi povezavo izdelka"
"Update product tier prices","Posodobi ceno za nivoje izdeka"
"Upload new product image ","Naloži novo sliko izdelka"
"Url Rewrite Management","URL upravljanje pravil"
"Use Canonical Link Meta Tag For Categories","Uporabi kanonično povezavo meta značke za kategorijo"
"Use Canonical Link Meta Tag For Products","Uporabi kanonično povezavo meta značke za izdelke"
"Use Categories Path for Product URLs","Uporabi pot katerorij za URL izdelka"
"Use Config Settings","Uporabi konfiguracijske nastavitve"
"Use Default Value","Uporabi privzete vredosti"
"Use Flat Catalog Category","Uporabi pavšalno kategorijo kataloga"
"Use Flat Catalog Product","Uporabi pavšalno kategorijo izdelka"
"Use In Layered Navigation","Uporabi v večplastni navigaciji"
"Use In Search Results Layered Navigation","Uporabi v  rezultatih iskanja večplastne navigacije"
"Use JavaScript Calendar","Uporabi JavaScript koledar"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Uporabi statične URLje za medijsko vsebino v WYSIWYG za katalog"
"Use To Create Configurable Product","Uporabi za ustvarjanje nastavljivih izdelkov"
"Use Tree Like Category Sitemap","Uporabi drevesno strukturo zemljevida strani"
"Use default","Uporabi privzeto"
"Use for Promo Rule Conditions","Uporabi za pogoje promo pravila"
"Use four-digit year format.","Uporabi štirištevilčno boliko za leto."
"Use in Advanced Search","Uporabi v naprednem iskanju"
"Use in Layered Navigation","Uporabi v večplastni navigaciji"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Uporabi v večplastni navigaciji<br/>(Lahko je uporabljeno samo z vnosom kataloga spustnega tipa )"
"Use in Quick Search","Uporabi v hitrem iskanju"
"Used for Sorting in Product Listing","Uporabljeno za razvrščanje v seznamu izdelkov"
"Used in Product Listing","Uporabljeno v seznamu izdelkov"
"Value for ""%s"" is invalid.","Vrednost za ""%s"" je neveljevna."
"Value for ""%s"" is invalid: %s","Vrednost za""%s"" je neveljevna: %s"
"Varchar","Spremenjlivo polje za znake"
"View as","Prikaz"
"Virtual Product","Virtualni izdelek"
"Visibility","Vidnost"
"Visible","Vidno"
"Visible on Catalog Pages on Front-end","Vidno na straneh kataloga na uporabniški strani"
"Visible on Product View Page on Front-end","Vidno na strani pogleda na izdelek na uporabniški strani"
"WYSIWYG Editor","WYSIWYG urejevalnik"
"Watermark","Vodni žig"
"Watermark Default Size","Privzeta velikost vodnega žiga"
"Watermark Opacity, Percent","Prosojnost vodnega žiga v odstotkih"
"Watermark Position","Položaj vodnega žiga"
"We Also Recommend","Priporočamo tudi"
"Website","Spletna stran"
"Websites","Spletne strani"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Ali naj prikažem""Vse"" možnosti v  ""Prikaži X na stran"" spustne meniju."
"Wrong BuyRequest instance in options group.","Napačna  instanca nakupne zahteve v skupini možnosti."
"Wrong option instance type in options group.","Napačen tip instance možnosti  v skupini možnosti."
"Wrong option type to get group instance.","Napačen tip možnosti za pridobitev skupinske možnosti."
"Wrong product instance type in options group.","Napačen tip instance izdelka  v skupini možnosti."
"Wrong product type filter specified","Naveden je napačen tip filtra izdelka"
"Wrong quote item instance in options group.","Napačna instanca postavke predračuna v skupini možnosti. "
"Wrong quote item option instance in options group.","Napačna možnost instance  postavke predračuna v skupini možnosti. "
"Year Range","Razpon let"
"Yes","Da"
"You cannot email this product to a friend.","Tega izdelka ne morete poslati prijatelju po E-pošti."
"You cannot remove system attribute from this set.","Ne morete odstraniti sistemskega atributa iz te skupine."
"You cannot send more than %d emails at a time.","Ne morete poslati več kot %d e-poštnih spročil hkrati."
"You have exceeded limit of %d sends in an hour.","Presegli ste omejitev %d pošiljk v uri."
"You have no items to compare.","Nimate izdelkov za primerjavo"
"You have to specify at least one recipient.","Navesti morate vsaj enega prejemnika."
"You may also be interested in the following product(s)","Moorda vas bodo zanimali naslednji izdelki"
"Zoom In","Približaj"
"Zoom Out","Oddalji"
"[GLOBAL]","[GLOBALNO]"
"and","in"
"categories","Kategorije"
"each","vsak"
"ex. http://domain.com","npr  http://domain.com"
"leave blank if its not an image","pustite prazno če ni slika"
"per page","na stran"
"products","izdelki"
"px.","px."
"save","shrani"
"select all","izberi vse"
"unselect all","izloči vse"
"x","x"
"This product was already bought by ","Ta izdelek je kupilo že  "
"customers.","strank."
"The last purchase was from: ", "Zadnji nakup je bil iz države: "
"Click here to see LIVE DEMO", "Kliknite tukaj za DEMO"
"Tired of entering your informations? Make quick checkout with PayPal!","Ste naveličani izpolnjevati obrazce s svojimi podatki? Opravite hiter nakup preko PayPal-a!"
"Links","Povezava"
"Prices","Cene"
"Meta Information","Meta informacije"
"Gift Options","Možnosti daril"
"Name","Naziv"
"Description","Opis"
"Short Description","Kratek opis"
"Cost","Strošek"
